  29	-106.5	 32.9
 -0	-112.2	 38.3
 -29	-107.5	 32.8
  34	-104.9	 62.3
 -36	-104.9	 62.3
  70	-65.1	 31.7
  65	-73.4	 59.9
  51	-81.5	 86.1
  29	-88.7	 104.4
 -0	-92.6	 112
 -31	-89.7	 104.3
 -53	-82.3	 84
 -66	-74.3	 58.8
 -70	-64.1	 31.8
  79	-36.2	 34
  77	-44.3	 69.3
  63	-53.1	 101.5
  35	-58.2	 128.1
 -0	-61.4	 137.8
 -36	-60.3	 128.9
 -65	-54.1	 101.4
 -77	-44.2	 68.3
 -79	-36.2	 34
  85	-6.5	 38.5
  84	-12	 77.1
  71	-17.6	 116.7
  39	-21.9	 144.4
 -1	-23.3	 156.4
 -41	-21.7	 143.4
 -71	-18.4	 114.6
 -84	-13	 77
 -84	-8.5	 38.3
  83	 30.4	 35.5
  84	 22.2	 42.9
  83	 21.6	 82.1
  69	 21	 122.3
  38	 18.7	 150.2
 -1	 18.6	 160.2
 -42	 18	 148.1
 -70	 19.4	 119
 -82	 19.8	 80.8
 -84	 22.2	 42.9
 -83	 30.4	 35.5
  74	 51.6	 49.3
  70	 53.9	 81.8
  57	 56.3	 113.3
  31	 55.7	 135.4
 -0	 55	 141.3
 -34	 53.8	 134.1
 -58	 53.4	 111.9
 -70	 50.9	 81.4
 -73	 50.6	 49.2
  56	 74.9	 57.1
  50	 76.7	 76.4
  39	 79.7	 93.9
 -0	 80.9	 109.1
 -39	 78.8	 92.7
 -51	 75.7	 76.3
 -56	 73.9	 56.9
  30	 91.6	 25.8
  31	 92.2	 64.1
 -0	 94.5	 70.4
 -31	 91.2	 64
 -30	 92.6	 25.9
